"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_ndclans_name","ND-Clans","ND-Clans","ND-Clans","ND-Clans","ND-Clans","ND-Clans","ND-Clans","ND-Clans","ND-Clans","ND-Clans","ND-Clans","ND-Clans","ND-Clãns","ND-Clans",
"STR_ndclans_desc","Possibility to establish your own clan. Basebuilding management through plot pole etc.","Possibility to establish your own clan. Basebuilding management through plot pole etc.","Possibility to establish your own clan. Basebuilding management through plot pole etc.","Possibility to establish your own clan. Basebuilding management through plot pole etc.","Возможность создания собственного клана. Управление строительством базы через столб для межевания и т.д.","Możliwość ustanowienia własnego klanu. Zarządzanie budową bazową przez słup itp.","Lehetőség a saját klánjának létrehozására. Alapépítés kezelése a póluson keresztül stb.","Possibilità di stabilire il tuo clan. Gestione delle costruzioni di base attraverso una scheda IPTU ecc.","Posibilidad de establecer su propio clan. Gestión de la construcción base a través de una junta de IPTU, etc.","Possibilité d'établir votre propre clan. Gestion de la construction de base par le biais d'une carte IPTU, etc.","ND-Mission","あなた自身の一族を確立する可能性。プロットポールなどを介したベースビルディング管理","Possibilidade de estabelecer seu próprio clã. Gerenciamento de construção de base através de uma Placa IPTU etc.","ND-Mission",
"STR_alp_plotpole","Plot pole","Plot pole","Pozemková značka","Pillar für eine Grenzmarkierung","Столб для межевания","Element krajobrazu","Földmark","Piatto iptu","Placa de iptu","Assiette iptu","领地牌","ポールをプロットします","Placa IPTU","领地牌",
"STR_alp_plotpole_desc","It secures your territory from enemies. No one can't placing objects and building in this area, except of your clan mates.","It secures your territory from enemies. No one can't placing objects and building in this area, except of your clan mates.","Zabezpečuje vaše území před nepřáteli. Nikdo nemůže umisťovat předměty a stavět v této oblasti, kromě vašich klanových kamarádů.","Schützt Ihren Bereich vor Außenstehenden: Niemand außer Ihnen und Ihren Clanmitgliedern kann in diesem Bereich Objekte aufstellen, Fahrzeuge ausfahren oder bauen.","Защищает вашу территорию от посторонних: никто не может устанавливать объекты, выходить из транспорта и строить в этой зоне, кроме вас и членов вашего клана.","Zabezpiecza twoje terytorium przed wrogami. Nikt nie może umieszczać przedmiotów i budowy w tym obszarze oprócz znajomych klanu.","Biztosítsa területét az ellenségektől. Senki sem helyezhet tárgyakat és építhet ezen a területen, kivéve a klán barátait.","Protegge il suo territorio dai nemici. Nessuno può mettere oggetti e costruire in quest'area tranne te e il tuo clan.","Protege su territorio de los enemigos. Nadie puede poner objetos y construir en esta área, excepto usted y su clan.","Il protège son territoire des ennemis. Personne ne peut mettre des objets et construire dans ce domaine à l'exception de vous et de votre clan.","它保护你的领土不受敌人侵犯。除了你的部落成员外，没有人可以在这个区域放置物品、下车或建造建筑。","敵から領土を確保します。あなたの一族の仲間を除いて、誰もこのエリアにオブジェクトを配置して構築することはできません。","Ele protege seu território de inimigos. Ninguém pode colocar objetos e construir nesta área, exceto você e seu clã.","它保护你的领土不受敌人侵犯。除了你的部落成员外，没有人可以在这个区域放置物品、下车或建造建筑。",
"ip_teamup","Your Clan","Your Clan","Tvůj Klan","Dein Clan","Твой клан","Twój klan","A klánod","Il tuo clan","Tu clan","Votre clan","家族&帮派","あなたの一族","Seu Clã ","家族&帮派",
"ip_sendinvite","Send Invite","Send Invite","Poslat Pozvánku","Sende Einladung","Пригласить","Zapraszać","Meghívás","Invitare","Invitar","Inviter","发送邀请","招待を送る","Enviar convite","发送邀请",
"ip_acceptinvite","Accept Invite","Accept Invite","Přijmout Pozvánku","Akzeptiere Einladung","Принять приглашение","Otrzymać zaproszenie","Kapjon meghívót","Accetta l'invito","Aceptar la invitacion","Accepter l'invitation","接受邀请","招待状を受け入れます","Aceite convite","接受邀请",
"ip_declinetinvite","Decline Invite","Decline Invite","Odmítnout Pozvánku","Einladung ablehnen","Отклонить приглашение","Zapraszać","Meghívás","Rifiutare","Rechazar","Rejeter","拒绝邀请","招待状を拒否します","Recusar convite","拒绝邀请",
"ip_newclan","New Clan","New Clan","Nový Klan","Neuer Clan","Создать клан","Nowy klan","Új klán","Nuovo clan","Nuevo clan","Nouveau clan","创建家族","新しい一族","Novo Clã","创建家族",
"ip_leaveclan","Leave Clan","Leave Clan","Opustit Klan","Clan verlassen","Покинуть клан","Opuść klan","Hagyja el a klánt","Lascia il clan","Dejar el clan","Quitter le clan","离开家族","一族を残します","Deixe o Clã","离开家族",
